id,elapsed,event_incident_typefk,match_id,player1,subtype,team
507806,58,329,1796,34437,cross,8667
508288,90,329,1796,34437,cross,8667
508306,89,329,1796,23275,cross,10194
506933,6,329,1797,24890,cross,8528
506948,7,329,1797,24890,cross,8528
507302,33,329,1797,23257,cross,8659
507375,38,329,1797,24890,cross,8528
507417,40,329,1797,24890,cross,8528
507443,43,329,1797,23257,cross,8659
507497,45,329,1797,24890,cross,8528
507729,57,329,1797,23257,cross,8659
507932,69,329,1797,23257,cross,8659
508016,75,329,1797,23257,cross,8659
508076,79,329,1797,27267,cross,8659
508154,85,329,1797,23257,cross,8659
508186,87,329,1797,24663,cross,8528
510724,10,329,1798,30613,cross,9825
510739,10,329,1798,30631,cross,8455
510780,13,329,1798,30613,cross,9825
511056,30,329,1798,30631,cross,8455
511086,32,329,1798,30686,cross,8455
517030,16,329,1799,30829,cross,10260
517079,24,330,1799,30829,short,10260
517106,34,329,1799,30829,cross,10260
517127,38,330,1799,30829,short,10260
517387,58,329,1799,30829,cross,10260
517531,81,329,1799,24154,cross,10260
517541,83,329,1799,24154,cross,10260
517558,86,329,1799,24154,cross,10260
517565,87,329,1799,30829,cross,10260
517570,88,329,1799,24154,cross,10260
517578,90,330,1799,17866,short,8472
515412,12,329,1800,30613,cross,9825
515454,16,329,1800,30843,cross,9825
515489,19,329,1800,24890,cross,8528
515769,40,329,1800,24890,cross,8528
515837,45,329,1800,30843,cross,9825
516098,54,329,1800,30843,cross,9825
516348,69,329,1800,24890,cross,8528
516376,71,329,1800,30843,cross,9825
516416,73,329,1800,30843,cross,9825
516490,78,329,1800,30843,cross,9825
516537,82,329,1800,30613,cross,9825
521739,19,329,1801,33781,cross,8654
521749,22,329,1801,33781,cross,8654
521767,28,329,1801,33781,cross,8654
521778,31,329,1801,33781,cross,8654
